시리얼번호|온도차이|온도비율차이|공|과|구|답|대|도|묘|사|산공|산과|산구|산답|산대|산도|산묘|산사|산수|산임|산전|산제|산종|산차|산천|산철|산학|수|원|유|임|잡|장|전|제|종|주|차|창|천|철|체|학|전체면적|비율_건축면적|비율_지상연면적|건축년한_비율|높이_비율|지상층수_비율|건축년한|높이|지상층수|강파이프구조|경량철골구조|공업화박판강구조(PEB)|기타강구조|기타구조|기타조적구조|기타철골철근콘크리트구조|기타콘크리트구조|벽돌구조|블록구조|석구조|스틸하우스조|시멘트블럭조|일반목구조|일반철골구조|조립식판넬조|조적구조|철골철근콘크리트구조|철골철근콘크리트합성구조|철골콘크리트구조|철근콘크리트구조|통나무구조|프리케스트콘크리트구조|공공용시설|공동주택|공장|관광휴게시설|교육연구및복지시설|교육연구시설|교정및군사시설|근린생활시설|노유자시설|단독주택|동.식물관련시설|묘지관련시설|문화및집회시설|발전시설|방송통신시설|분뇨.쓰레기처리시설|수련시설|숙박시설|업무시설|운동시설|운수시설|위락시설|위험물저장및처리시설|의료시설|자동차관련시설|자원순환관련시설|장례시설|제1종근린생활시설|제2종근린생활시설|종교시설|창고시설|판매및영업시설|판매시설|(철근)콘크리트|기와|기타지붕|슬레이트
OC3CL200010|-2.2382539682539706|0.9278986083999932||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
OC3CL200011|-9.702539682539676|0.6953139608919213||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
OC3CL200012|0.7629365079365067|1.0236450580985004|0.007465663291872199|0.0|0.0|0.0|0.7503442683028443|0.19408069014187218|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.003607689178371402|0.0|0.0|0.0|0.0|0.044501689085039875|125461.9139458262|52083.91751502273|149129.42426872926|3898245.095664251|1624123.4872442957|575126.5912838075|26.14001304423777|10.89069776275436|3.8565601262393194|0.0|465.0300000000001|0.0|0.0|0.0|0.0|0.0|0.0|47169.50464503543|0.0|0.0|0.0|0.0|0.0|322.48|0.0|0.0|0.0|0.0|329.0404984306501|100843.36912526318|0.0|0.0|0.0|26121.49853176259|0.0|0.0|0.0|3787.32|0.0|0.0|818.14|79859.18302327304|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|454.9400000000001|8654.41|0.0|0.0|0.0|0.0|0.0|0.0|0.0|11559.525252942436|17874.4074607512|0.0|0.0|0.0|0.0|46485.82512273321|518.0090018632867|5080.083390426234|0.0
OC3CL200013|-0.24361111111111278|0.9888635492610758|0.0|0.0|0.0004589672352895597|0.0|0.7831066786044417|0.17979375477138454|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.008824923497585471|0.0|0.0|0.0|0.0|0.007391552314622446|0.0|0.002805818024397882|0.0|0.017618305552278408|0.0|0.0|0.0|125461.92017883502|20564.728133828838|31327.52624708501|863264.1413991522|277567.32090800273|79645.5368486806|27.556090276342132|8.860173596816635|2.5423500157817767|0.0|643.8663124726796|0.0|198.21000000000006|0.0|475.11000000000007|0.0|0.0|4172.99900804065|75.47|0.0|0.0|0.0|5675.878390559621|663.74|0.0|0.0|0.0|0.0|114.05000000000003|19308.20253601206|0.0|0.0|0.0|4348.869922783119|0.0|0.0|0.0|1202.357331969199|0.0|0.0|203.73971147386527|11036.108164009109|0.0|0.0|1172.010155267351|0.0|0.0|0.0|0.0|0.0|531.0804914769778|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5711.4065091063085|7121.9539609990825|0.0|0.0|0.0|0.0|11882.351529279764|6931.702089573286|1675.204514975787|75.47
OC3CL200014|-0.3328968253968271|0.9911203969337408|0.0|0.0|0.0|0.0|0.7207044845926366|0.18780514689258412|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.09149036851477925|0.0|0.0|0.0|0.0|0.0|0.0|0.0|125469.4524734377|47845.956997117675|291835.7884737227|11835867.42266937|13275628.6107829|3737594.128519835|40.55660028733963|45.49006371087437|12.807182244738202|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4158.864354788566|0.0|0.0|0.0|0.0|522.8299999999999|13872.758548475304|0.0|0.0|90434.3347469641|0.0|0.0|182847.00082349475|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2812.6105399944304|0.0|0.0|0.0|0.0|0.0|0.0|6708.565294882933|0.0|0.0|0.0|0.0|76541.733097947|116926.26551948822|0.0|0.0|122.44999999999997|0.0|0.0|0.0|0.0|0.0|27969.574833529045|19854.98601783339|15295.613170047698|0.0|0.0|25603.99|45121.07123371894|896.601817719686|1392.4439456790537|435.8400000000001
OC3CL200015|-0.012658730158731884|0.9993846605985003|0.0|0.0|0.0|0.0|0.4809360349312048|0.23362037392419394|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.28544359114460127|125463.84388173501|36153.58992452698|138573.57988338114|3690091.7811671416|1887152.6235936324|693101.933005494|26.62911490251315|13.618415755599274|5.001688875966004|0.0|52.79|0.0|0.0|0.0|0.0|0.0|0.0|2868.6203986677087|0.0|0.0|0.0|0.0|0.0|291.9209828345898|0.0|0.0|1274.6652997661413|0.0|0.0|134085.5832021127|0.0|0.0|0.0|10697.012693940409|0.0|0.0|0.0|28780.650871993465|0.0|0.0|0.0|6580.868105994891|0.0|0.0|1485.2499999999998|0.0|0.0|0.0|0.0|0.0|8102.451015063645|0.0|0.0|0.0|0.0|0.0|52.79|0.0|0.0|34606.32465079307|48268.23254559568|0.0|0.0|0.0|0.0|34729.54194915038|4.6167497603578695|1306.1725557622995|0.0
OC3CL200016|0.09448412698412521|1.003532244562554|0.0|0.0|0.0|0.0|0.7427054483491126|0.25365585005805885|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.002505520384345839|0.0|0.0|0.0011331812084826895|0.0|0.0|125419.6142093275|48770.412281627985|186661.70275736545|4764192.404264119|3396445.2360668|1022212.4300496607|25.52313802931989|18.19572620357863|5.476283645490989|0.0|489.92049305739465|0.0|0.0|0.0|0.0|0.0|0.0|8813.417157401478|0.0|0.0|0.0|0.0|0.0|5778.563633033219|0.0|0.0|11757.916174488526|0.0|973.2350520294062|158848.65024735543|0.0|0.0|0.0|7016.084553852186|0.0|0.0|0.0|775.66|0.0|0.0|0.0|3629.87621509189|0.0|0.0|3786.86|0.0|0.0|0.0|0.0|0.0|17035.6201727041|0.0|0.0|0.0|0.0|0.0|168.49|0.0|0.0|61755.96740769081|90592.33822531928|0.0|0.0|0.0|1900.806182707198|44171.80812624859|394.4154477071775|3925.7487076722236|278.44
OC3CL200017|-0.27575396825396986|0.9911487130824026|0.07422952749772839|0.0|0.0018937061886721061|0.0|0.3974710714188446|0.3255519958391278|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.07578797526927067|0.0|0.0|0.12506572378635644|125462.03308515382|24834.407364204253|114525.86882978896|2612260.6395583125|2688594.64672532|830145.2614720431|22.809350116703463|23.475872081976277|7.248539303428682|0.0|454.74822887398375|0.0|0.0|0.0|0.0|0.0|0.0|713.3981022023759|0.0|0.0|0.0|0.0|0.0|7113.233740703657|0.0|0.0|4234.214698935536|0.0|0.0|102010.27405907342|0.0|0.0|0.0|54387.264015362496|0.0|0.0|0.0|11408.09674353879|0.0|0.0|350.3999999999999|5282.406296507866|0.0|0.0|127.32729954171376|0.0|0.0|0.0|0.0|0.0|17536.160000000003|64.53055196260684|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5709.992200319482|19659.691722556006|0.0|0.0|0.0|0.0|23806.885707763744|0.0|762.3133104558158|265.20834598469565
OC3CL200018|0.7123412698412679|1.0207394708578459|0.0028089604384996477|0.0|0.0|0.0|0.5345288651586316|0.09450803759179509|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.24466385318695957|0.01465250225832214|0.0|0.042048340324607476|0.0|0.06678944104118448|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|125461.9583260059|22695.244103273377|83848.34455962616|1048066.5941725385|10080175.153267356|2849022.014600625|12.499550225791737|120.21913141170188|33.9782738653192|0.0|267.23999999999995|0.0|0.0|0.0|0.0|0.0|0.0|5035.466291530995|177.38|0.0|0.0|0.0|0.0|1023.5798451777846|0.0|0.0|62252.79389987767|0.0|0.0|15091.884523039713|0.0|0.0|0.0|64596.03109490754|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3010.0200458559384|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3183.011718373065|0.0|0.0|0.0|0.0|0.0|1143.18|0.0|0.0|3170.062680584462|8746.03901990516|0.0|0.0|0.0|0.0|22253.954218752973|89.26988452040115|352.0200000000001|0.0
OC3CL200019|0.14507936507936342|1.0035193496670665|0.0|0.0|0.012873040145697725|0.0|0.8039607206250553|0.1609911474119786|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.842830148882097e-05|0.0|0.0|0.0020031935986086886|0.0|0.012710421454407629|0.0|0.0073930484627632645|0.0|0.0|0.0|0.0|0.0|125461.66303194637|43623.03838145706|106450.41436692304|2834982.783281494|948833.1867884023|339975.65652587556|26.631956297601768|8.91338180721286|3.1937466711403895|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|32756.325354964643|714.3140629789872|0.0|0.0|0.0|577.29|4084.84|0.0|0.0|319.53000000000003|439.7100000000001|223.75784883807268|67334.64710014133|0.0|0.0|0.0|32142.74993460684|0.0|0.0|0.0|0.0|0.0|110.19|346.10999999999996|45361.73572914281|0.0|0.0|327.79|0.0|0.0|0.0|0.0|0.0|2256.0000000000005|0.0|0.0|0.0|0.0|0.0|3441.21|0.0|0.0|7087.633568032172|14801.675135141208|575.3199999999998|0.0|0.0|0.0|40057.14938555391|1922.2037555891864|1232.8849329241698|410.8003073898009
