"행정구역","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~9세","2022년10월_계_10~19세","2022년10월_계_20~29세","2022년10월_계_30~39세","2022년10월_계_40~49세","2022년10월_계_50~59세","2022년10월_계_60~69세","2022년10월_계_70~79세","2022년10월_계_80~89세","2022년10월_계_90~99세","2022년10월_계_100세 이상","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~9세","2022년10월_남_10~19세","2022년10월_남_20~29세","2022년10월_남_30~39세","2022년10월_남_40~49세","2022년10월_남_50~59세","2022년10월_남_60~69세","2022년10월_남_70~79세","2022년10월_남_80~89세","2022년10월_남_90~99세","2022년10월_남_100세 이상","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~9세","2022년10월_여_10~19세","2022년10월_여_20~29세","2022년10월_여_30~39세","2022년10월_여_40~49세","2022년10월_여_50~59세","2022년10월_여_60~69세","2022년10월_여_70~79세","2022년10월_여_80~89세","2022년10월_여_90~99세","2022년10월_여_100세 이상"
"서울특별시  (1100000000)","9,443,722","9,443,722","551,549","750,887","1,399,898","1,426,203","1,455,582","1,494,808","1,292,446","711,551","317,543","41,954","1,301","4,578,459","4,578,459","283,233","384,269","670,090","712,539","719,904","736,335","610,843","322,970","127,144","10,851","281","4,865,263","4,865,263","268,316","366,618","729,808","713,664","735,678","758,473","681,603","388,581","190,399","31,103","1,020"
"서울특별시 종로구 (1111000000)","141,861","141,861","6,515","10,149","22,517","19,359","20,155","24,274","20,183","11,411","6,376","891","31","68,601","68,601","3,302","5,030","10,711","9,604","9,699","12,125","10,148","5,114","2,579","278","11","73,260","73,260","3,213","5,119","11,806","9,755","10,456","12,149","10,035","6,297","3,797","613","20"
"서울특별시 종로구 청운효자동(1111051500)","11,700","11,700","684","1,132","1,464","1,558","2,052","1,879","1,407","921","532","68","3","5,367","5,367","356","589","718","700","898","847","649","366","222","21","1","6,333","6,333","328","543","746","858","1,154","1,032","758","555","310","47","2"
"서울특별시 종로구 사직동(1111053000)","9,128","9,128","521","667","1,116","1,445","1,422","1,489","1,201","692","489","84","2","4,045","4,045","257","294","476","618","634","679","564","283","205","33","2","5,083","5,083","264","373","640","827","788","810","637","409","284","51","0"
"서울특별시 종로구 삼청동(1111054000)","2,343","2,343","88","169","283","292","342","363","394","236","150","24","2","1,113","1,113","40","99","136","136","160","178","187","110","53","13","1","1,230","1,230","48","70","147","156","182","185","207","126","97","11","1"
"서울특별시 종로구 부암동(1111055000)","9,283","9,283","443","843","1,173","1,161","1,466","1,655","1,322","727","415","74","4","4,411","4,411","215","473","594","577","650","764","618","328","174","18","0","4,872","4,872","228","370","579","584","816","891","704","399","241","56","4"
"서울특별시 종로구 평창동(1111056000)","17,726","17,726","1,108","1,528","2,197","2,120","2,601","3,208","2,690","1,341","787","136","10","8,266","8,266","591","740","1,085","991","1,167","1,441","1,281","610","318","39","3","9,460","9,460","517","788","1,112","1,129","1,434","1,767","1,409","731","469","97","7"
"서울특별시 종로구 무악동(1111057000)","8,038","8,038","586","941","852","856","1,328","1,434","1,045","588","364","41","3","3,721","3,721","264","412","402","395","620","724","496","254","141","13","0","4,317","4,317","322","529","450","461","708","710","549","334","223","28","3"
"서울특별시 종로구 교남동(1111058000)","9,861","9,861","774","803","1,132","1,490","1,749","1,621","1,171","712","374","34","1","4,543","4,543","392","382","532","668","807","787","531","278","156","10","0","5,318","5,318","382","421","600","822","942","834","640","434","218","24","1"
"서울특별시 종로구 가회동(1111060000)","3,957","3,957","177","298","454","512","663","682","567","371","200","33","0","1,832","1,832","101","147","209","236","319","323","269","145","78","5","0","2,125","2,125","76","151","245","276","344","359","298","226","122","28","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,738","6,738","170","205","1,001","938","865","1,149","1,304","715","346","43","2","4,082","4,082","91","105","488","544","538","803","891","427","183","10","2","2,656","2,656","79","100","513","394","327","346","413","288","163","33","0"
"서울특별시 종로구 종로5.6가동(1111063000)","5,240","5,240","128","207","1,185","804","542","881","766","470","231","26","0","2,771","2,771","56","99","551","449","317","507","458","221","104","9","0","2,469","2,469","72","108","634","355","225","374","308","249","127","17","0"
"서울특별시 종로구 이화동(1111064000)","7,109","7,109","203","346","1,577","1,223","868","1,060","909","555","327","41","0","3,356","3,356","101","162","723","612","433","531","419","247","113","15","0","3,753","3,753","102","184","854","611","435","529","490","308","214","26","0"
"서울특별시 종로구 혜화동(1111065000)","16,242","16,242","568","1,286","4,446","2,016","2,016","2,320","1,657","1,124","705","102","2","7,816","7,816","283","645","2,205","1,062","961","1,111","790","463","267","28","1","8,426","8,426","285","641","2,241","954","1,055","1,209","867","661","438","74","1"
"서울특별시 종로구 창신제1동(1111067000)","4,673","4,673","117","199","594","588","519","921","982","481","246","26","0","2,489","2,489","58","108","306","351","263","509","552","240","95","7","0","2,184","2,184","59","91","288","237","256","412","430","241","151","19","0"
"서울특별시 종로구 창신제2동(1111068000)","7,726","7,726","183","381","1,055","901","893","1,723","1,421","772","353","44","0","3,969","3,969","100","198","554","511","477","907","730","338","136","18","0","3,757","3,757","83","183","501","390","416","816","691","434","217","26","0"
"서울특별시 종로구 창신제3동(1111069000)","6,458","6,458","324","455","873","903","843","1,206","1,052","485","277","39","1","3,181","3,181","164","235","453","467","418","583","528","218","96","18","1","3,277","3,277","160","220","420","436","425","623","524","267","181","21","0"
